Tran. Id     | Date         |   Withdrawal |      Deposit |   GS Balance ||    ERP Debit |   ERP Credit |  ERP Balance | Voucher No         | Status
----------------------------------------------------------------------------------------------------------------------------------
S61142552    | 2024-02-06   |         0.00 |    30,000.00 |    30,000.00 ||    30,000.00 |              |    30,000.00 | ACC-JV-2025-00729  | Match
S64486541    | 2024-02-06   |         0.00 |    30,000.00 |    60,000.00 ||    30,000.00 |              |    60,000.00 | ACC-JV-2025-00730  | Match
S73187356    | 2024-02-07   |         0.00 |    10,000.00 |    70,000.00 ||    10,000.00 |              |    70,000.00 | ACC-JV-2025-00731  | Match
S86650214    | 2024-02-08   |         0.00 |    30,000.00 |   100,000.00 ||    30,000.00 |              |   100,000.00 | ACC-JV-2025-00732  | Match
S95557834    | 2024-02-19   |    17,968.00 |         0.00 |    82,032.00 ||              |    17,968.00 |    82,032.00 | ACC-JV-2025-00733  | Match
S14572448    | 2024-02-21   |    10,000.00 |         0.00 |    72,032.00 ||              |    10,000.00 |    72,032.00 | ACC-JV-2025-00734  | Match
S14573019    | 2024-02-21   |    15,000.00 |         0.00 |    57,032.00 ||              |    15,000.00 |    57,032.00 | ACC-JV-2025-00735  | Match
S51005670    | 2024-02-26   |     6,000.00 |         0.00 |    51,032.00 ||              |     6,000.00 |    51,032.00 | ACC-JV-2025-00736  | Match
S88253952    | 2024-02-28   |     1,580.00 |         0.00 |    49,452.00 ||              |     1,580.00 |    49,452.00 | ACC-JV-2025-00737  | Match
S47427208    | 2024-03-04   |     5,000.00 |         0.00 |    44,452.00 ||              |     5,000.00 |    44,452.00 | ACC-JV-2025-00738  | Match
S2728486     | 2024-03-20   |     7,000.00 |         0.00 |    37,452.00 ||              |     7,000.00 |    37,452.00 | ACC-JV-2025-00739  | Match
S70290001    | 2024-03-28   |         0.00 |   200,000.00 |   237,452.00 ||   200,000.00 |              |   237,452.00 | ACC-JV-2025-00740  | Match
S70151001    | 2024-03-28   |         0.00 |    10,000.00 |   247,452.00 ||    10,000.00 |              |   247,452.00 | ACC-JV-2025-00741  | Match
S70192568    | 2024-03-28   |         0.00 |    90,000.00 |   337,452.00 ||    90,000.00 |              |   337,452.00 | ACC-JV-2025-00742  | Match
S71099806    | 2024-03-28   |   260,000.00 |         0.00 |    77,452.00 ||              |   260,000.00 |    77,452.00 | ACC-JV-2025-00743  | Match
S95636807    | 2024-03-30   |         0.00 |         1.00 |    77,453.00 ||         1.00 |              |    77,453.00 | ACC-JV-2025-00744  | Match
S9685004     | 2024-04-02   |       200.00 |         0.00 |    77,253.00 ||              |       200.00 |    77,253.00 | ACC-JV-2025-00745  | Match
S11128756    | 2024-04-02   |     7,000.00 |         0.00 |    70,253.00 ||              |     7,000.00 |    70,253.00 | ACC-JV-2025-00746  | Match
S86448663    | 2024-04-08   |     7,000.00 |         0.00 |    63,253.00 ||              |     7,000.00 |    63,253.00 | ACC-JV-2025-00747  | Match
S59347745    | 2024-04-16   |     7,000.00 |         0.00 |    56,253.00 ||              |     7,000.00 |    56,253.00 | ACC-JV-2025-00748  | Match
S59394655    | 2024-04-16   |       650.00 |         0.00 |    55,603.00 ||              |       650.00 |    55,603.00 | ACC-JV-2025-00749  | Match
S26653046    | 2024-04-24   |     7,000.00 |         0.00 |    48,603.00 ||              |     7,000.00 |    48,603.00 | ACC-JV-2025-00750  | Match
S30829968    | 2024-04-24   |         0.00 |   180,000.00 |   228,603.00 ||   180,000.00 |              |   228,603.00 | ACC-JV-2025-00751  | Match
S30907489    | 2024-04-24   |         0.00 |   180,000.00 |   408,603.00 ||   180,000.00 |              |   408,603.00 | ACC-JV-2025-00752  | Match
S33601194    | 2024-04-25   |         0.00 |   180,000.00 |   588,603.00 ||   180,000.00 |              |   588,603.00 | ACC-JV-2025-00753  | Match
S33790495    | 2024-04-25   |         0.00 |   100,000.00 |   688,603.00 ||   100,000.00 |              |   688,603.00 | ACC-JV-2025-00754  | Match
S34996231    | 2024-04-25   |         0.00 |    50,000.00 |   738,603.00 ||    50,000.00 |              |   738,603.00 | ACC-JV-2025-00768  | Match
S35585635    | 2024-04-25   |         0.00 |    80,000.00 |   818,603.00 ||    80,000.00 |              |   818,603.00 | ACC-JV-2025-00769  | Match
S36424167    | 2024-04-25   |   524,805.00 |         0.00 |   293,798.00 ||              |   524,805.00 |   293,798.00 | ACC-JV-2025-00770  | Match
S46438890    | 2024-04-26   |         0.00 |    30,000.00 |   323,798.00 ||    30,000.00 |              |   323,798.00 | ACC-JV-2025-00771  | Match
S66624391    | 2024-04-29   |       500.00 |         0.00 |   323,298.00 ||              |       500.00 |   323,298.00 | ACC-JV-2025-00772  | Match
S73134396    | 2024-04-29   |    47,800.00 |         0.00 |   275,498.00 ||              |    47,800.00 |   275,498.00 | ACC-JV-2025-00773  | Match
S81785879    | 2024-04-30   |    14,000.00 |         0.00 |   261,498.00 ||              |    14,000.00 |   261,498.00 | ACC-JV-2025-00774  | Match
S81817536    | 2024-04-30   |     7,000.00 |         0.00 |   254,498.00 ||              |     7,000.00 |   254,498.00 | ACC-JV-2025-00775  | Match
S90108644    | 2024-05-01   |     2,000.00 |         0.00 |   252,498.00 ||              |     2,000.00 |   252,498.00 | ACC-JV-2025-00776  | Match
S8313914     | 2024-05-02   |     2,200.00 |         0.00 |   250,298.00 ||              |     2,200.00 |   250,298.00 | ACC-JV-2025-00777  | Match
S61139150    | 2024-05-07   |    13,999.00 |         0.00 |   236,299.00 ||              |    13,999.00 |   236,299.00 | ACC-JV-2025-00818  | Match
S16604500    | 2024-05-13   |     9,250.00 |         0.00 |   227,049.00 ||              |     9,250.00 |   227,049.00 | ACC-JV-2025-00779  | Match
S16673697    | 2024-05-13   |     8,750.00 |         0.00 |   218,299.00 ||              |     8,750.00 |   218,299.00 | ACC-JV-2025-00780  | Match
S53216622    | 2024-05-17   |     5,000.00 |         0.00 |   213,299.00 ||              |     5,000.00 |   213,299.00 | ACC-JV-2025-00781  | Match
S53233931    | 2024-05-17   |     1,425.00 |         0.00 |   211,874.00 ||              |     1,425.00 |   211,874.00 | ACC-JV-2025-00782  | Match
S55520895    | 2024-05-17   |         0.00 |     7,400.00 |   219,274.00 ||     7,400.00 |              |   219,274.00 | ACC-JV-2025-00783  | Match
S1000229     | 2024-05-23   |    13,000.00 |         0.00 |   206,274.00 ||              |    13,000.00 |   206,274.00 | ACC-JV-2025-00784  | Match
S2822606     | 2024-05-23   |       500.00 |         0.00 |   205,774.00 ||              |       500.00 |   205,774.00 | ACC-JV-2025-00785  | Match
S15380306    | 2024-05-24   |     2,179.00 |         0.00 |   203,595.00 ||              |     2,179.00 |   203,595.00 | ACC-JV-2025-00786  | Match
S15716470    | 2024-05-24   |     2,000.00 |         0.00 |   201,595.00 ||              |     2,000.00 |   201,595.00 | ACC-JV-2025-00787  | Match
S21309122    | 2024-05-25   |     4,000.00 |         0.00 |   197,595.00 ||              |     4,000.00 |   197,595.00 | ACC-JV-2025-00788  | Match
S21322093    | 2024-05-25   |     2,248.00 |         0.00 |   195,347.00 ||              |     2,248.00 |   195,347.00 | ACC-JV-2025-00789  | Match
S23948711    | 2024-05-27   |    14,500.00 |         0.00 |   180,847.00 ||              |    14,500.00 |   180,847.00 | ACC-JV-2025-00790  | Match
S24156895    | 2024-05-27   |    36,519.00 |         0.00 |   144,328.00 ||              |    36,519.00 |   144,328.00 | ACC-JV-2025-00791  | Match
S24254599    | 2024-05-27   |     9,000.00 |         0.00 |   135,328.00 ||              |     9,000.00 |   135,328.00 | ACC-JV-2025-00792  | Match
S31649277    | 2024-05-27   |     4,000.00 |         0.00 |   131,328.00 ||              |     4,000.00 |   131,328.00 | ACC-JV-2025-00793  | Match
S37980336    | 2024-05-27   |    12,000.00 |         0.00 |   119,328.00 ||              |    12,000.00 |   119,328.00 | ACC-JV-2025-00794  | Match
S38002185    | 2024-05-27   |    10,000.00 |         0.00 |   109,328.00 ||              |    10,000.00 |   109,328.00 | ACC-JV-2025-00795  | Match
S51808292    | 2024-05-29   |         9.44 |         0.00 |   109,318.56 ||              |         9.44 |   109,318.56 | ACC-JV-2025-00796  | Match
S62442830    | 2024-05-30   |     1,000.00 |         0.00 |   108,318.56 ||              |     1,000.00 |   108,318.56 | ACC-JV-2025-00797  | Match
S75206009    | 2024-05-31   |     5,000.00 |         0.00 |   103,318.56 ||              |     5,000.00 |   103,318.56 | ACC-JV-2025-00798  | Match
S98767413    | 2024-06-03   |     1,250.00 |         0.00 |   102,068.56 ||              |     1,250.00 |   102,068.56 | ACC-JV-2025-00799  | Match
S99239233    | 2024-06-03   |     3,500.00 |         0.00 |    98,568.56 ||              |     3,500.00 |    98,568.56 | ACC-JV-2025-00800  | Match
S19463775    | 2024-06-04   |    44,840.00 |         0.00 |    53,728.56 ||              |    44,840.00 |    53,728.56 | ACC-JV-2025-00801  | Match
S41267616    | 2024-06-06   |     2,000.00 |         0.00 |    51,728.56 ||              |     2,000.00 |    51,728.56 | ACC-JV-2025-00802  | Match
S53436471    | 2024-06-07   |       500.00 |         0.00 |    51,228.56 ||              |       500.00 |    51,228.56 | ACC-JV-2025-00803  | Match
S54325333    | 2024-06-07   |    13,999.00 |         0.00 |    37,229.56 ||              |    13,999.00 |    37,229.56 | ACC-JV-2025-00819  | Match
S67187668    | 2024-06-08   |    27,289.00 |         0.00 |     9,940.56 ||              |    27,289.00 |     9,940.56 | ACC-JV-2025-00805  | Match
S67765425    | 2024-06-08   |         0.00 |       299.00 |    10,239.56 ||       299.00 |              |    10,239.56 | ACC-JV-2025-00806  | Match
S71337719    | 2024-06-10   |       170.00 |         0.00 |    10,069.56 ||              |       170.00 |    10,069.56 | ACC-JV-2025-00807  | Match
S72384505    | 2024-06-10   |     2,285.00 |         0.00 |     7,784.56 ||              |     2,285.00 |     7,784.56 | ACC-JV-2025-00808  | Match
S78758548    | 2024-06-10   |        35.00 |         0.00 |     7,749.56 ||              |        35.00 |     7,749.56 | ACC-JV-2025-00809  | Match
S80865033    | 2024-06-10   |         0.00 |   100,000.00 |   107,749.56 ||   100,000.00 |              |   107,749.56 | ACC-JV-2025-00810  | Match
S82695815    | 2024-06-10   |     3,538.82 |         0.00 |   104,210.74 ||              |     3,538.82 |   104,210.74 | ACC-JV-2025-00811  | Match
S87357815    | 2024-06-10   |     3,500.00 |         0.00 |   100,710.74 ||              |     3,500.00 |   100,710.74 | ACC-JV-2025-00812  | Match
S91606442    | 2024-06-11   |         9.44 |         0.00 |   100,701.30 ||              |         9.44 |   100,701.30 | ACC-JV-2025-00813  | Match
S93034629    | 2024-06-11   |    20,000.00 |         0.00 |    80,701.30 ||              |    20,000.00 |    80,701.30 | ACC-JV-2025-00814  | Match
S96920643    | 2024-06-11   |    10,373.00 |         0.00 |    70,328.30 ||              |    10,373.00 |    70,328.30 | ACC-JV-2025-00815  | Match
S99528543    | 2024-06-12   |     2,000.00 |         0.00 |    68,328.30 ||              |     2,000.00 |    68,328.30 | ACC-JV-2025-00816  | Match
S14391974    | 2024-06-13   |     3,750.00 |         0.00 |    64,578.30 ||              |     3,750.00 |    64,578.30 | ACC-JV-2025-00817  | Match
S21797756    | 2024-06-14   |     5,000.00 |         0.00 |    59,578.30 ||              |     5,000.00 |    59,578.30 | ACC-JV-2025-00820  | Match
S45855444    | 2024-06-18   |         0.00 |   180,000.00 |   239,578.30 ||   180,000.00 |              |   239,578.30 | ACC-JV-2025-00821  | Match
S50126320    | 2024-06-18   |         0.00 |   180,000.00 |   419,578.30 ||   180,000.00 |              |   419,578.30 | ACC-JV-2025-00822  | Match
S57517508    | 2024-06-19   |         0.00 |    80,000.00 |   499,578.30 ||    80,000.00 |              |   499,578.30 | ACC-JV-2025-00823  | Match
S58070515    | 2024-06-19   |         0.00 |   180,000.00 |   679,578.30 ||   180,000.00 |              |   679,578.30 | ACC-JV-2025-00824  | Match
S62560616    | 2024-06-19   |   200,000.00 |         0.00 |   479,578.30 ||              |   200,000.00 |   479,578.30 | ACC-JV-2025-00825  | Match
S75847369    | 2024-06-21   |   200,000.00 |         0.00 |   279,578.30 ||              |   200,000.00 |   279,578.30 | ACC-JV-2025-00826  | Match
S98290926    | 2024-06-24   |         0.00 |   180,000.00 |   459,578.30 ||   180,000.00 |              |   459,578.30 | ACC-JV-2025-00827  | Match
S99318909    | 2024-06-24   |    60,333.00 |         0.00 |   399,245.30 ||              |    60,333.00 |   399,245.30 | ACC-JV-2025-02074  | Match
S12055157    | 2024-06-25   |     8,060.00 |         0.00 |   391,185.30 ||              |     8,060.00 |   391,185.30 | ACC-JV-2025-00839  | Match
S15582993    | 2024-06-26   |     2,000.00 |         0.00 |   389,185.30 ||              |     2,000.00 |   389,185.30 | ACC-JV-2025-00840  | Match
S22009014    | 2024-06-26   |    12,127.00 |         0.00 |   377,058.30 ||              |    12,127.00 |   377,058.30 | ACC-JV-2025-02073  | Match
S32102552    | 2024-06-27   |     1,790.00 |         0.00 |   375,268.30 ||              |     1,790.00 |   375,268.30 | ACC-JV-2025-00842  | Match
S35897598    | 2024-06-28   |    11,000.00 |         0.00 |   364,268.30 ||              |    11,000.00 |   364,268.30 | ACC-JV-2025-00843  | Match
S49085467    | 2024-06-29   |     6,255.00 |         0.00 |   358,013.30 ||              |     6,255.00 |   358,013.30 | ACC-JV-2025-00844  | Match
S86082428    | 2024-07-03   |     9,973.00 |         0.00 |   348,040.30 ||              |     9,973.00 |   348,040.30 | ACC-JV-2025-00845  | Match
S98748085    | 2024-07-04   |     3,076.00 |         0.00 |   344,964.30 ||              |     3,076.00 |   344,964.30 | ACC-JV-2025-00846  | Match
S137844      | 2024-07-04   |     2,791.00 |         0.00 |   342,173.30 ||              |     2,791.00 |   342,173.30 | ACC-JV-2025-00847  | Match
S11334533    | 2024-07-05   |         0.00 |         1.00 |   342,174.30 ||         1.00 |              |   342,174.30 | ACC-JV-2025-00848  | Match
S32583818    | 2024-07-07   |    13,999.00 |         0.00 |   328,175.30 ||              |    13,999.00 |   328,175.30 | ACC-JV-2025-00849  | Match
S74543562    | 2024-07-11   |     2,000.00 |         0.00 |   326,175.30 ||              |     2,000.00 |   326,175.30 | ACC-JV-2025-00850  | Match
S82916457    | 2024-07-12   |    23,750.00 |         0.00 |   302,425.30 ||              |    23,750.00 |   302,425.30 | ACC-JV-2025-00851  | Match
S98612184    | 2024-07-14   |     5,000.00 |         0.00 |   297,425.30 ||              |     5,000.00 |   297,425.30 | ACC-JV-2025-00852  | Match
S27212977    | 2024-07-17   |         0.00 |         1.00 |   297,426.30 ||         1.00 |              |   297,426.30 | ACC-JV-2025-02093  | Match
S76137703    | 2024-07-23   |     3,000.00 |         0.00 |   294,426.30 ||              |     3,000.00 |   294,426.30 | ACC-JV-2025-00854  | Match
S77262663    | 2024-07-23   |     1,000.00 |         0.00 |   293,426.30 ||              |     1,000.00 |   293,426.30 | ACC-JV-2025-00855  | Match
S77080515    | 2024-07-23   |     2,200.00 |         0.00 |   291,226.30 ||              |     2,200.00 |   291,226.30 | ACC-JV-2025-00856  | Match
S79463735    | 2024-07-23   |       500.00 |         0.00 |   290,726.30 ||              |       500.00 |   290,726.30 | ACC-JV-2025-00857  | Match
S82607959    | 2024-07-24   |   126,000.00 |         0.00 |   164,726.30 ||              |   126,000.00 |   164,726.30 | ACC-JV-2025-00858  | Match
S82910719    | 2024-07-24   |    15,000.00 |         0.00 |   149,726.30 ||              |    15,000.00 |   149,726.30 | ACC-JV-2025-00859  | Match
S98599510    | 2024-07-25   |         2.00 |         0.00 |   149,724.30 ||              |         2.00 |   149,724.30 | ACC-JV-2025-00860  | Match
S99782570    | 2024-07-26   |     2,000.00 |         0.00 |   147,724.30 ||              |     2,000.00 |   147,724.30 | ACC-JV-2025-00861  | Match
S35112508    | 2024-07-30   |         0.00 |         2.00 |   147,726.30 ||         2.00 |              |   147,726.30 | ACC-JV-2025-00862  | Match
S42205187    | 2024-07-31   |     3,280.00 |         0.00 |   144,446.30 ||              |     3,280.00 |   144,446.30 | ACC-JV-2025-00863  | Match
S46735592    | 2024-07-31   |         0.00 |     5,000.00 |   149,446.30 ||     5,000.00 |              |   149,446.30 | ACC-JV-2025-00864  | Match
S69378899    | 2024-08-02   |     5,000.00 |         0.00 |   144,446.30 ||              |     5,000.00 |   144,446.30 | ACC-JV-2025-00865  | Match
S70364395    | 2024-08-02   |     6,000.00 |         0.00 |   138,446.30 ||              |     6,000.00 |   138,446.30 | ACC-JV-2025-00866  | Match
S11624588    | 2024-08-06   |       249.00 |         0.00 |   138,197.30 ||              |       249.00 |   138,197.30 | ACC-JV-2025-00867  | Match
S17689807    | 2024-08-07   |    13,999.00 |         0.00 |   124,198.30 ||              |    13,999.00 |   124,198.30 | ACC-JV-2025-00868  | Match
S33355288    | 2024-08-08   |     4,250.00 |         0.00 |   119,948.30 ||              |     4,250.00 |   119,948.30 | ACC-JV-2025-00869  | Match
S33432478    | 2024-08-08   |        21.78 |         0.00 |   119,926.52 ||              |        21.78 |   119,926.52 | ACC-JV-2025-00870  | Match
S51533123    | 2024-08-10   |     4,000.00 |         0.00 |   115,926.52 ||              |     4,000.00 |   115,926.52 | ACC-JV-2025-00871  | Match
S51430360    | 2024-08-10   |     1,500.00 |         0.00 |   114,426.52 ||              |     1,500.00 |   114,426.52 | ACC-JV-2025-00872  | Match
S53518271    | 2024-08-10   |     5,000.00 |         0.00 |   109,426.52 ||              |     5,000.00 |   109,426.52 | ACC-JV-2025-00873  | Match
S63020704    | 2024-08-12   |     2,000.00 |         0.00 |   107,426.52 ||              |     2,000.00 |   107,426.52 | ACC-JV-2025-00874  | Match
S65872726    | 2024-08-12   |     1,500.00 |         0.00 |   105,926.52 ||              |     1,500.00 |   105,926.52 | ACC-JV-2025-00875  | Match
S68092365    | 2024-08-12   |     2,000.00 |         0.00 |   103,926.52 ||              |     2,000.00 |   103,926.52 | ACC-JV-2025-00876  | Match
S74481595    | 2024-08-13   |     1,500.00 |         0.00 |   102,426.52 ||              |     1,500.00 |   102,426.52 | ACC-JV-2025-00877  | Match
S89813645    | 2024-08-14   |     4,130.00 |         0.00 |    98,296.52 ||              |     4,130.00 |    98,296.52 | ACC-JV-2025-00927  | Match
S93546800    | 2024-08-15   |     7,602.00 |         0.00 |    90,694.52 ||              |     7,602.00 |    90,694.52 | ACC-JV-2025-00928  | Match
S99286306    | 2024-08-16   |     1,415.00 |         0.00 |    89,279.52 ||              |     1,415.00 |    89,279.52 | ACC-JV-2025-00929  | Match
S2501164     | 2024-08-16   |     2,000.00 |         0.00 |    87,279.52 ||              |     2,000.00 |    87,279.52 | ACC-JV-2025-00930  | Match
S2837142     | 2024-08-16   |     1,500.00 |         0.00 |    85,779.52 ||              |     1,500.00 |    85,779.52 | ACC-JV-2025-00931  | Match
S7677015     | 2024-08-17   |     1,860.00 |         0.00 |    83,919.52 ||              |     1,860.00 |    83,919.52 | ACC-JV-2025-00932  | Match
S15762719    | 2024-08-18   |       870.00 |         0.00 |    83,049.52 ||              |       870.00 |    83,049.52 | ACC-JV-2025-00933  | Match
S23019017    | 2024-08-19   |    14,169.00 |         0.00 |    68,880.52 ||              |    14,169.00 |    68,880.52 | ACC-JV-2025-00934  | Match
S51430609    | 2024-08-22   |       600.00 |         0.00 |    68,280.52 ||              |       600.00 |    68,280.52 | ACC-JV-2025-00935  | Match
S61583556    | 2024-08-23   |       381.00 |         0.00 |    67,899.52 ||              |       381.00 |    67,899.52 | ACC-JV-2025-00936  | Match
S64443250    | 2024-08-24   |       800.00 |         0.00 |    67,099.52 ||              |       800.00 |    67,099.52 | ACC-JV-2025-00937  | Match
S78240613    | 2024-08-26   |     1,160.00 |         0.00 |    65,939.52 ||              |     1,160.00 |    65,939.52 | ACC-JV-2025-00938  | Match
S78279103    | 2024-08-26   |       400.00 |         0.00 |    65,539.52 ||              |       400.00 |    65,539.52 | ACC-JV-2025-00939  | Match
S78298870    | 2024-08-26   |       305.00 |         0.00 |    65,234.52 ||              |       305.00 |    65,234.52 | ACC-JV-2025-00940  | Match
S78304194    | 2024-08-26   |       195.00 |         0.00 |    65,039.52 ||              |       195.00 |    65,039.52 | ACC-JV-2025-00941  | Match
S81621614    | 2024-08-26   |         0.00 |     4,500.00 |    69,539.52 ||     4,500.00 |              |    69,539.52 | ACC-JV-2025-00942  | Match
S86928052    | 2024-08-27   |     3,620.00 |         0.00 |    65,919.52 ||              |     3,620.00 |    65,919.52 | ACC-JV-2025-00943  | Match
S89527463    | 2024-08-27   |       500.00 |         0.00 |    65,419.52 ||              |       500.00 |    65,419.52 | ACC-JV-2025-00944  | Match
S91435499    | 2024-08-27   |       435.00 |         0.00 |    64,984.52 ||              |       435.00 |    64,984.52 | ACC-JV-2025-00945  | Match
S99025652    | 2024-08-28   |       680.00 |         0.00 |    64,304.52 ||              |       680.00 |    64,304.52 | ACC-JV-2025-00946  | Match
S99357       | 2024-08-28   |       150.00 |         0.00 |    64,154.52 ||              |       150.00 |    64,154.52 | ACC-JV-2025-00947  | Match
S352299      | 2024-08-28   |       800.00 |         0.00 |    63,354.52 ||              |       800.00 |    63,354.52 | ACC-JV-2025-00948  | Match
S592190      | 2024-08-28   |       290.00 |         0.00 |    63,064.52 ||              |       290.00 |    63,064.52 | ACC-JV-2025-00949  | Match
S1703281     | 2024-08-28   |       299.00 |         0.00 |    62,765.52 ||              |       299.00 |    62,765.52 | ACC-JV-2025-00950  | Match
S10454684    | 2024-08-29   |       910.00 |         0.00 |    61,855.52 ||              |       910.00 |    61,855.52 | ACC-JV-2025-00951  | Match
S30145185    | 2024-08-31   |       474.00 |         0.00 |    61,381.52 ||              |       474.00 |    61,381.52 | ACC-JV-2025-00952  | Match
S33297673    | 2024-08-31   |       150.00 |         0.00 |    61,231.52 ||              |       150.00 |    61,231.52 | ACC-JV-2025-00953  | Match
S44723401    | 2024-09-02   |     2,000.00 |         0.00 |    59,231.52 ||              |     2,000.00 |    59,231.52 | ACC-JV-2025-00954  | Match
S44778775    | 2024-09-02   |         0.00 |     2,000.00 |    61,231.52 ||     2,000.00 |              |    61,231.52 | ACC-JV-2025-00955  | Match
S44680377    | 2024-09-02   |     2,000.00 |         0.00 |    59,231.52 ||              |     2,000.00 |    59,231.52 | ACC-JV-2025-00956  | Match
S44784946    | 2024-09-02   |         0.00 |     2,000.00 |    61,231.52 ||     2,000.00 |              |    61,231.52 | ACC-JV-2025-00957  | Match
S44597203    | 2024-09-02   |     2,000.00 |         0.00 |    59,231.52 ||              |     2,000.00 |    59,231.52 | ACC-JV-2025-00958  | Match
S44792300    | 2024-09-02   |         0.00 |     2,000.00 |    61,231.52 ||     2,000.00 |              |    61,231.52 | ACC-JV-2025-00959  | Match
S44674867    | 2024-09-02   |     2,000.00 |         0.00 |    59,231.52 ||              |     2,000.00 |    59,231.52 | ACC-JV-2025-00960  | Match
S73846264    | 2024-09-04   |       300.00 |         0.00 |    58,931.52 ||              |       300.00 |    58,931.52 | ACC-JV-2025-00961  | Match
S85329733    | 2024-09-05   |    10,000.00 |         0.00 |    48,931.52 ||              |    10,000.00 |    48,931.52 | ACC-JV-2025-00962  | Match
S95274627    | 2024-09-06   |       100.00 |         0.00 |    48,831.52 ||              |       100.00 |    48,831.52 | ACC-JV-2025-00963  | Match
S95102570    | 2024-09-06   |       179.00 |         0.00 |    48,652.52 ||              |       179.00 |    48,652.52 | ACC-JV-2025-00964  | Match
S98111251    | 2024-09-06   |     1,010.00 |         0.00 |    47,642.52 ||              |     1,010.00 |    47,642.52 | ACC-JV-2025-00965  | Match
S4553182     | 2024-09-07   |    13,999.00 |         0.00 |    33,643.52 ||              |    13,999.00 |    33,643.52 | ACC-JV-2025-00966  | Match
S6318501     | 2024-09-07   |     3,100.00 |         0.00 |    30,543.52 ||              |     3,100.00 |    30,543.52 | ACC-JV-2025-00967  | Match
S18223570    | 2024-09-09   |         0.00 |    78,000.00 |   108,543.52 ||    78,000.00 |              |   108,543.52 | ACC-JV-2025-00968  | Match
S18560942    | 2024-09-09   |         0.00 |    78,000.00 |   186,543.52 ||    78,000.00 |              |   186,543.52 | ACC-JV-2025-00969  | Match
S43439019    | 2024-09-11   |         0.00 |    34,666.00 |   221,209.52 ||    34,666.00 |              |   221,209.52 | ACC-JV-2025-00970  | Match
S44599090    | 2024-09-11   |         0.00 |    78,000.00 |   299,209.52 ||    78,000.00 |              |   299,209.52 | ACC-JV-2025-00971  | Match
S48146067    | 2024-09-11   |    20,000.00 |         0.00 |   279,209.52 ||              |    20,000.00 |   279,209.52 | ACC-JV-2025-00972  | Match
S49425257    | 2024-09-11   |         0.00 |    78,000.00 |   357,209.52 ||    78,000.00 |              |   357,209.52 | ACC-JV-2025-00973  | Match
S51636038    | 2024-09-12   |       962.00 |         0.00 |   356,247.52 ||              |       962.00 |   356,247.52 | ACC-JV-2025-01087  | Match
S51640598    | 2024-09-12   |     3,000.00 |         0.00 |   353,247.52 ||              |     3,000.00 |   353,247.52 | ACC-JV-2025-00974  | Match
S51720930    | 2024-09-12   |     4,000.00 |         0.00 |   349,247.52 ||              |     4,000.00 |   349,247.52 | ACC-JV-2025-00975  | Match
S53549879    | 2024-09-12   |    13,435.41 |         0.00 |   335,812.11 ||              |    13,435.41 |   335,812.11 | ACC-JV-2025-00976  | Match
S70590286    | 2024-09-14   |       249.00 |         0.00 |   335,563.11 ||              |       249.00 |   335,563.11 | ACC-JV-2025-00977  | Match
S71550596    | 2024-09-14   |       250.00 |         0.00 |   335,313.11 ||              |       250.00 |   335,313.11 | ACC-JV-2025-00978-1 | Match
S73483108    | 2024-09-14   |    16,000.00 |         0.00 |   319,313.11 ||              |    16,000.00 |   319,313.11 | ACC-JV-2025-00979  | Match
S90639028    | 2024-09-17   |       189.05 |         0.00 |   319,124.06 ||              |       189.05 |   319,124.06 | ACC-JV-2025-00980  | Match
S95280919    | 2024-09-17   |     1,185.00 |         0.00 |   317,939.06 ||              |     1,185.00 |   317,939.06 | ACC-JV-2025-00981  | Match
S26935328    | 2024-09-20   |         0.00 |     2,099.00 |   320,038.06 ||     2,099.00 |              |   320,038.06 | ACC-PAY-2025-00271 | Match
S27729456    | 2024-09-20   |         0.00 |     1,100.00 |   321,138.06 ||     1,100.00 |              |   321,138.06 | ACC-PAY-2025-00744 | Match
S27995817    | 2024-09-20   |         0.00 |       950.00 |   322,088.06 ||       950.00 |              |   322,088.06 | ACC-PAY-2025-00270 | Match
S32629485    | 2024-09-21   |     8,330.80 |         0.00 |   313,757.26 ||              |     8,330.80 |   313,757.26 | ACC-JV-2025-00985  | Match
S36696617    | 2024-09-22   |       373.38 |         0.00 |   313,383.88 ||              |       373.38 |   313,383.88 | ACC-JV-2025-00986  | Match
S40604037    | 2024-09-22   |     4,000.00 |         0.00 |   309,383.88 ||              |     4,000.00 |   309,383.88 | ACC-JV-2025-00987  | Match
S40602480    | 2024-09-22   |         0.00 |     4,000.00 |   313,383.88 ||     4,000.00 |              |   313,383.88 | ACC-JV-2025-00988  | Match
S40604425    | 2024-09-22   |     4,000.00 |         0.00 |   309,383.88 ||              |     4,000.00 |   309,383.88 | ACC-JV-2025-00989  | Match
S46265640    | 2024-09-23   |     3,400.00 |         0.00 |   305,983.88 ||              |     3,400.00 |   305,983.88 | ACC-JV-2025-00990  | Match
S46280439    | 2024-09-23   |     2,937.00 |         0.00 |   303,046.88 ||              |     2,937.00 |   303,046.88 | ACC-JV-2025-01345  | Match
S46191518    | 2024-09-23   |     3,701.00 |         0.00 |   299,345.88 ||              |     3,701.00 |   299,345.88 | ACC-JV-2025-01437  | Match
S47053169    | 2024-09-23   |       603.00 |         0.00 |   298,742.88 ||              |       603.00 |   298,742.88 | ACC-JV-2025-01438  | Match
S62395626    | 2024-09-25   |       300.00 |         0.00 |   298,442.88 ||              |       300.00 |   298,442.88 | ACC-JV-2025-01439  | Match
